order_id,customer_id,order_date,status,shipping_method,payment_terms,department,shipping_address,shipping_city,shipping_postal_code,expected_delivery
SO74463da3,C967d50a7,2024-01-10,Neu,Economy,Net60,Produktion,Stefani-Trubin-Gasse 08,Bützow,31958,2024-01-15
SO500e91ef,Caa20bb87,2024-07-10,In Bearbeitung,Economy,Net30,HR,Lehmanngasse 2,Wanzleben,17135,2024-07-13
SO79d3c1a2,C3a861bec,2023-08-18,In Bearbeitung,Standard,Immediate,Produktion,Keudelstr. 404,Tübingen,80401,2023-08-21
SO7dc2686b,Cfa474de8,2023-10-17,Neu,Premium,Net30,Einkauf,Gerti-Hornig-Ring 20,Artern,32059,2023-10-27
SO44f5a450,C7e45efe4,2024-11-27,Abgeschlossen,Standard,Net60,HR,Freudenbergerring 73,Soltau,63446,2024-12-09
SOfc039f97,Cec472c61,2023-05-30,Storniert,Standard,Immediate,HR,Frank-Peter-Zahn-Platz 730,Calw,76455,2023-06-11
SO8e194864,C275f50b1,2024-09-02,Abgeschlossen,Economy,Net30,Vertrieb,Dörschnerplatz 3/1,Germersheim,68843,2024-09-15
SO33ca7d1b,C476ce152,2023-03-08,Abgeschlossen,Standard,Net45,Finanzen,Steyweg 4/9,Bad Kissingen,42762,2023-03-22
SO451ba8ee,Cd6f978c2,2024-03-10,Storniert,Premium,Net30,IT,Andrzej-Kreusel-Weg 37,Wertingen,67905,2024-03-15
SO39b2ece6,C4420150f,2023-05-12,Abgeschlossen,Premium,Net60,HR,Carolin-Dobes-Gasse 5/4,Heinsberg,80847,2023-05-19
SO218b2082,Cfa474de8,2024-04-11,Abgeschlossen,Standard,Net30,Einkauf,Gerti-Hornig-Ring 20,Artern,32059,2024-04-18
SO091b00a3,C6e1dd11f,2024-04-16,Abgeschlossen,Premium,Net45,IT,Mansgasse 8/3,Mayen,96366,2024-04-20
SOd5b82da8,C303ae767,2024-11-06,Abgeschlossen,Express,Net45,Vertrieb,Ernst-Dieter-Gumprich-Platz 1,Zossen,68203,2024-11-15
SO5552b16b,C9f9d1595,2024-04-20,Abgeschlossen,Express,Immediate,Produktion,Sauergasse 9,Kulmbach,17285,2024-04-23
SO237c0b52,C38361d92,2023-05-02,In Bearbeitung,Express,Net45,Vertrieb,Inge-Vollbrecht-Straße 5/7,Wesel,78380,2023-05-11
SOeac0aee5,Ce80237a3,2024-03-19,Abgeschlossen,Standard,Net60,Finanzen,Krauseallee 86,Gadebusch,06411,2024-04-02
SOa5ac0744,C82cd3970,2023-11-02,Abgeschlossen,Standard,Immediate,Einkauf,Gerta-Schottin-Platz 7/3,Dessau,70013,2023-11-09
SOa1f92c0b,C1d070d6e,2024-08-26,Neu,Express,Net60,Einkauf,Drubplatz 5/0,Marienberg,67927,2024-08-29
SO384d8573,C1011d7bf,2023-01-25,In Bearbeitung,Economy,Net45,Produktion,Gina-Wilms-Ring 699,Stade,27017,2023-02-07
SOb2bddf9b,Ca5ca84fd,2023-02-08,Neu,Economy,Net45,Finanzen,Harloffallee 57,Burglengenfeld,56470,2023-02-21
SO7551af30,Cc755aa91,2024-03-22,In Bearbeitung,Economy,Net45,Vertrieb,Jacob-Anders-Straße 29,Reutlingen,91832,2024-03-27
SOe90c3fc7,Ca7e17d6d,2024-11-10,Abgeschlossen,Economy,Immediate,Einkauf,Stolzestr. 6,Eisleben,26809,2024-11-21
SO2bc5f16d,C36a19778,2023-06-08,In Bearbeitung,Economy,Net30,Finanzen,Pohlring 4,Hohenstein-Ernstthal,09494,2023-06-21
SOc0eae3cf,Caad1aa13,2024-10-24,Abgeschlossen,Express,Net30,Finanzen,Patberggasse 1/2,Hamburg,36750,2024-11-05
SO9c01452f,,2024-08-16,In Bearbeitung,Economy,Net60,Produktion,,,,2024-08-28
SO8b5012f4,Cf92b9ef9,2024-03-25,Abgeschlossen,Premium,Net30,Produktion,Heinplatz 24,Pirmasens,09319,2024-03-30
SO2dcff1d5,Ca42b06d3,2024-06-25,Storniert,Express,Immediate,Vertrieb,Klappring 8,Wurzen,36907,2024-07-01
SOc55cf9c2,Ce02f09fc,2024-06-16,In Bearbeitung,Premium,Net30,Finanzen,Carmela-Hauffer-Allee 79,Nordhausen,10540,2024-06-27
SOa8835edb,Cf6f02706,2023-09-14,Abgeschlossen,Standard,Net30,HR,Monja-Linke-Platz 9/4,Jena,23885,2023-09-20
SO427e3b95,C1011d7bf,2023-06-10,Abgeschlossen,Premium,Net45,Produktion,Gina-Wilms-Ring 699,Stade,27017,2023-06-15
SOa748ad08,Cd891b141,2023-03-03,In Bearbeitung,Standard,Immediate,Produktion,Hermannweg 87,Feuchtwangen,58642,2023-03-14
SOc3c3fd78,C03157cee,2024-07-15,Neu,Premium,Net30,Vertrieb,Gundolf-Salz-Weg 5/1,Kaiserslautern,88197,2024-07-22
SOe2614fd6,C5c74d310,2023-11-13,Abgeschlossen,Economy,Net45,HR,Laszlo-Beer-Allee 5/5,Lübz,64486,2023-11-22
SO4e3b589b,C090d6a5d,2023-12-18,Storniert,Premium,Net30,Produktion,Södingstr. 6/9,Aschaffenburg,43476,2023-12-30
SO53005f93,Ced957276,2024-02-09,In Bearbeitung,Express,Net60,Finanzen,Gießstr. 3,Ludwigslust,00247,2024-02-22
SOc5a0b881,Caddd63d9,2023-11-11,Abgeschlossen,Standard,Net30,Einkauf,Reisingstraße 976,Vilsbiburg,55495,2023-11-16
SOe0df2fd4,C3efad3f9,2024-05-10,In Bearbeitung,Economy,Net45,Einkauf,Schmidtkering 07,Bruchsal,20345,2024-05-16
SO8d2f1137,C13afda51,2023-06-22,Abgeschlossen,Premium,Immediate,Finanzen,Stadelmannring 7/5,Luckenwalde,04063,2023-06-30
SOcc95d7c0,C8fbcc7b1,2024-04-03,Abgeschlossen,Economy,Net60,Produktion,Jürgen-Schmiedecke-Platz 2/0,Bergzabern,90976,2024-04-16
SO24aaa270,C4d8dda40,2024-02-04,Abgeschlossen,Economy,Net45,Finanzen,Elsa-Hauffer-Allee 53,Roth,87312,2024-02-10
SO7dc94846,,2023-02-14,Abgeschlossen,Standard,Net30,IT,,,,2023-02-20
SO3523f38d,C7fd098ba,2024-05-30,In Bearbeitung,Express,Net30,Finanzen,Zobelstr. 2,Tübingen,50946,2024-06-11
SOefd3ef1a,C3cc6e59d,2023-10-07,Neu,Premium,Net45,IT,Fred-Scheuermann-Weg 711,Böblingen,55971,2023-10-19
SO7a180c41,C6d8ea5e4,2024-10-07,Abgeschlossen,Standard,Net45,Produktion,Ewa-Mitschke-Weg 8/6,Suhl,36443,2024-10-15
SO6c97e4c8,C9d0a5534,2024-12-06,Neu,Express,Net30,Vertrieb,Kraushaarstr. 6,Böblingen,87815,2024-12-10
SOfa6e9ae6,,2024-05-04,In Bearbeitung,Standard,Net60,HR,,,,2024-05-07
SO33fed355,C3275bcae,2024-09-26,Abgeschlossen,Standard,Net45,Einkauf,Rennerstr. 1/2,Herford,92356,2024-09-29
SOfbeee2d5,Ca26869df,2024-03-07,Abgeschlossen,Economy,Net60,Vertrieb,Röhrdanzstraße 893,Meiningen,11415,2024-03-12
SO463eda48,Cdfca3639,2024-05-28,Abgeschlossen,Economy,Immediate,Vertrieb,Adolphgasse 7,Göppingen,44477,2024-06-11
SOe9d15369,C0641716f,2023-04-16,Abgeschlossen,Economy,Net30,Produktion,Friedericke-Stoll-Platz 8,Olpe,72629,2023-04-28
SO45b2b4dd,C8fbcc7b1,2024-11-02,Neu,Premium,Net60,Produktion,Jürgen-Schmiedecke-Platz 2/0,Bergzabern,90976,2024-11-10
SOc74d9379,C6043cf92,2023-05-15,Abgeschlossen,Express,Net30,HR,Jähnallee 304,Wismar,83018,2023-05-28
SO18856a31,C9694b874,2023-05-23,Abgeschlossen,Premium,Immediate,HR,Weinhagegasse 2/7,Holzminden,70215,2023-05-30
SO35f67483,Ccb63ede4,2023-02-19,In Bearbeitung,Economy,Net60,Finanzen,Isabel-Fischer-Gasse 4,Göttingen,82330,2023-02-26
SOcda3782f,Caad1aa13,2023-12-29,Abgeschlossen,Premium,Net30,Finanzen,Patberggasse 1/2,Hamburg,36750,2024-01-01
SO577c82c2,Ca42b06d3,2024-05-07,Abgeschlossen,Premium,Immediate,Vertrieb,Klappring 8,Wurzen,36907,2024-05-14
SOdcc6383b,C42e5a792,2024-09-20,Abgeschlossen,Economy,Net60,Einkauf,Zahnring 6,Sonneberg,58768,2024-09-24
SO7db34e33,C73e2fe44,2024-08-12,Abgeschlossen,Economy,Net30,Einkauf,Hansjürgen-Stiffel-Gasse 76,Mallersdorf,05293,2024-08-21
SOeb08606d,Cfcd5712c,2024-02-17,Abgeschlossen,Standard,Net60,HR,Roman-Graf-Platz 466,Koblenz,25761,2024-02-20
SO1fc7b9c4,Ce1527376,2024-11-14,Abgeschlossen,Economy,Net60,IT,Martinallee 8,Wurzen,80795,2024-11-19
SO0ffc6bbe,C4d8dda40,2023-03-03,Neu,Standard,Net45,Finanzen,Elsa-Hauffer-Allee 53,Roth,87312,2023-03-17
SOca037c78,C846484d1,2023-01-10,Abgeschlossen,Premium,Net60,Vertrieb,Ortwin-Weiß-Gasse 690,Viersen,33241,2023-01-23
SO361f32d5,C37903667,2023-08-06,Abgeschlossen,Economy,Immediate,Vertrieb,Rolf-Dieter-Otto-Straße 02,Fallingbostel,69611,2023-08-11
SOa290a12e,C1e3f9dc2,2024-09-20,Abgeschlossen,Economy,Immediate,HR,Schinkeplatz 6,Erbisdorf,56716,2024-09-26
SO06ebef94,C16aa833e,2023-06-12,Abgeschlossen,Express,Net45,HR,Hornichstraße 4,Saarbrücken,00022,2023-06-25
SO7672e1a1,C4d8dda40,2023-08-24,Storniert,Premium,Net45,Finanzen,Elsa-Hauffer-Allee 53,Roth,87312,2023-09-04
SO7f8a0ec3,C1d070d6e,2024-01-09,Abgeschlossen,Standard,Net60,Einkauf,Drubplatz 5/0,Marienberg,67927,2024-01-23
SO3d0d1b1b,,2023-09-17,Abgeschlossen,Economy,Net60,Einkauf,,,,2023-09-29
SOc222ea37,C1d070d6e,2023-01-24,Abgeschlossen,Premium,Net60,Einkauf,Drubplatz 5/0,Marienberg,67927,2023-01-28
SOd5ce2f40,,2024-11-18,Neu,Premium,Immediate,Finanzen,,,,2024-11-30
SO51e6fc23,C12feb9fd,2024-03-15,Abgeschlossen,Express,Net30,Einkauf,Anto-Pölitz-Platz 92,Coburg,78895,2024-03-29
SOba43d56c,C9f9d1595,2023-07-07,Abgeschlossen,Premium,Immediate,Produktion,Sauergasse 9,Kulmbach,17285,2023-07-11
SOab5a7e76,Cd891b141,2023-11-12,In Bearbeitung,Premium,Immediate,Produktion,Hermannweg 87,Feuchtwangen,58642,2023-11-17
SOc777d7e9,Ce36428f7,2023-05-27,Storniert,Premium,Immediate,HR,Schulzplatz 8,Tecklenburg,55706,2023-06-04
SOcd4c0558,C1252c1b1,2023-11-06,Abgeschlossen,Express,Net60,IT,Arzu-Schuchhardt-Weg 9/0,Weißenfels,29589,2023-11-13
SO6e81d5c4,Cfa474de8,2023-09-15,Abgeschlossen,Express,Net30,Einkauf,Gerti-Hornig-Ring 20,Artern,32059,2023-09-25
SO239e62be,Cc4b33ba9,2024-07-08,Abgeschlossen,Standard,Net45,Einkauf,Maria-Loos-Ring 39,Osterburg,62204,2024-07-15
SO21e97680,C1d070d6e,2024-04-02,Abgeschlossen,Standard,Net60,Einkauf,Drubplatz 5/0,Marienberg,67927,2024-04-15
SOc9ff2ebb,C14fe74cd,2023-07-20,Abgeschlossen,Premium,Net60,HR,Carlos-Hettner-Gasse 679,Gerolzhofen,87323,2023-07-25
SO1d01aa22,C6823df44,2023-06-07,In Bearbeitung,Standard,Net30,IT,Lachmannallee 72,Wunsiedel,96007,2023-06-21
SO4e6e11b6,C868f6ecf,2023-10-30,In Bearbeitung,Express,Net45,IT,Huhnstr. 2/4,Burglengenfeld,07348,2023-11-08
SO39b5e781,,2023-05-22,Abgeschlossen,Premium,Immediate,Finanzen,,,,2023-05-25
SO7b8f9dce,C42e5a792,2023-11-08,In Bearbeitung,Economy,Net60,Einkauf,Zahnring 6,Sonneberg,58768,2023-11-18
SO2358026f,C4d8dda40,2023-03-09,Neu,Premium,Net45,Finanzen,Elsa-Hauffer-Allee 53,Roth,87312,2023-03-15
SO505d61cc,Cca6a5fc0,2023-12-29,Abgeschlossen,Standard,Net30,Vertrieb,Scheibestr. 760,Strasburg,71626,2024-01-09
SOf6829f13,Cfeb0823d,2024-02-09,Abgeschlossen,Premium,Net45,IT,Kramerring 804,Forst,04662,2024-02-14
SO99a179f8,C0fe26680,2023-08-20,In Bearbeitung,Express,Net30,Produktion,Robert-Kraus-Ring 24,Freudenstadt,38123,2023-09-02
SO5143e518,,2024-04-14,Abgeschlossen,Economy,Net60,Produktion,,,,2024-04-28
SO3581b4ee,C8a588552,2024-07-07,In Bearbeitung,Premium,Net30,Finanzen,Frankering 9,Berlin,33535,2024-07-11
SO30e7cfb7,C4420150f,2024-10-11,Neu,Express,Net60,HR,Carolin-Dobes-Gasse 5/4,Heinsberg,80847,2024-10-22
SOcbb973ee,Cc637d361,2024-06-08,Abgeschlossen,Standard,Immediate,Finanzen,Dehmelplatz 148,Groß-Gerau,49880,2024-06-19
SO80cebe61,C3f13b32e,2023-03-21,Abgeschlossen,Express,Immediate,Finanzen,Zobelplatz 505,Illertissen,90367,2023-04-02
SO3db17db2,C0641716f,2023-03-07,Storniert,Standard,Net30,Produktion,Friedericke-Stoll-Platz 8,Olpe,72629,2023-03-10
SO5a252809,Caad1aa13,2024-08-24,Abgeschlossen,Economy,Net30,Finanzen,Patberggasse 1/2,Hamburg,36750,2024-09-02
SO729c3bb7,C16aa833e,2024-01-25,Storniert,Express,Net45,HR,Hornichstraße 4,Saarbrücken,00022,2024-02-06
SOe0d09c21,C924c7be9,2024-05-01,Abgeschlossen,Premium,Net45,Einkauf,Löfflergasse 1,Pegnitz,00641,2024-05-05
SOe40edee6,Cf27e6ab2,2024-12-21,Storniert,Premium,Immediate,Finanzen,Ebertgasse 72,Zschopau,76592,2024-12-25
SO148c0a85,C1dfe72e0,2024-05-17,Abgeschlossen,Economy,Net60,Vertrieb,Cläre-Trupp-Allee 266,Vilsbiburg,50984,2024-05-20
SO093e9e1b,Cf8b4383e,2023-09-11,Abgeschlossen,Standard,Immediate,Finanzen,Stumpfstr. 5/3,Calau,17276,2023-09-23
SO145c9246,Cca4b662a,2023-08-13,Abgeschlossen,Standard,Immediate,Vertrieb,Sabrina-Rust-Straße 83,Gifhorn,77427,2023-08-17
SO1515007e,C16aa833e,2024-09-08,Abgeschlossen,Express,Net45,HR,Hornichstraße 4,Saarbrücken,00022,2024-09-18
SOd80dbf0e,C22dc1560,2024-04-17,Abgeschlossen,Standard,Net45,Einkauf,Emilia-Holzapfel-Gasse 0,Bergzabern,86309,2024-04-30
SO91aa1ba1,Cbab00c56,2024-01-11,Abgeschlossen,Express,Net30,Produktion,Ottostraße 3/7,Rudolstadt,74612,2024-01-21
SOe0dd5a51,Ce475e957,2023-12-30,Neu,Premium,Net30,Produktion,Ingeborg-Kroker-Straße 52,Donaueschingen,38965,2024-01-09
SO12866dcb,,2023-02-16,Abgeschlossen,Express,Net45,Produktion,,,,2023-02-26
SOaa3399ea,Cf1e39af6,2023-12-12,Abgeschlossen,Premium,Immediate,Finanzen,Buchholzallee 58,Eutin,10672,2023-12-25
